"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg22274234",0.0076,0.0019,4.9e-05,0.003,"smoking","F001"
"cg12386285",-0.0028,7e-04,4.9e-05,0.003,"smoking","F001"
"cg25336765",0.0104,0.0026,4.9e-05,0.003,"smoking","F001"
"cg06545367",-0.0104,0.0026,5e-05,0.003,"smoking","F001"
"cg26169081",-0.0068,0.0017,5e-05,0.003,"smoking","F001"
"cg02736908",-0.0102,0.0025,5e-05,0.003,"smoking","F001"
"cg26182859",0.007,0.0017,5e-05,0.003,"smoking","F001"
"cg25167447",-0.0099,0.0024,5e-05,0.003,"smoking","F001"
"cg27543230",-0.0027,7e-04,5e-05,0.003,"smoking","F001"
"cg22478317",-0.0071,0.0017,5e-05,0.003,"smoking","F001"
"cg20015689",0.007,0.0017,5e-05,0.003,"smoking","F001"
"cg26164773",-0.0018,5e-04,5e-05,0.003,"smoking","F001"
"cg16468631",0.003,7e-04,5e-05,0.003,"smoking","F001"
"cg14399790",0.0066,0.0016,5e-05,0.003,"smoking","F001"
"cg09945120",0.0017,4e-04,5e-05,0.003,"smoking","F001"
"cg10634619",-0.0069,0.0017,5e-05,0.0031,"smoking","F001"
"cg04468281",0.0035,9e-04,5e-05,0.0031,"smoking","F001"
"cg14341014",0.0026,6e-04,5e-05,0.0031,"smoking","F001"
"cg01518508",0.0019,5e-04,5e-05,0.0031,"smoking","F001"
"cg06636831",0.0087,0.0021,5e-05,0.0031,"smoking","F001"
"cg07784959",0.0078,0.0019,5e-05,0.0031,"smoking","F001"
"cg08694280",0.005,0.0012,5e-05,0.0031,"smoking","F001"
"cg07847863",0.0042,0.001,5e-05,0.0031,"smoking","F001"
"cg10546977",0.0036,9e-04,5e-05,0.0031,"smoking","F001"
"cg12009872",-0.0036,9e-04,5e-05,0.0031,"smoking","F001"
"cg10722410",-0.0058,0.0014,5e-05,0.0031,"smoking","F001"
"cg10505257",0.0045,0.0011,5e-05,0.0031,"smoking","F001"
"cg00377681",-0.0069,0.0017,5e-05,0.0031,"smoking","F001"
"cg00932510",-0.004,0.001,5e-05,0.0031,"smoking","F001"
"cg06675483",0.0044,0.0011,5e-05,0.0031,"smoking","F001"
"cg22695729",0.0044,0.0011,5e-05,0.0031,"smoking","F001"
"cg02656891",0.0056,0.0014,5.1e-05,0.0031,"smoking","F001"
"cg21828319",0.0024,6e-04,5.1e-05,0.0031,"smoking","F001"
"cg12080369",-0.002,5e-04,5.1e-05,0.0031,"smoking","F001"
"cg10975863",-0.0069,0.0017,5.1e-05,0.0031,"smoking","F001"
"cg09545109",-0.0052,0.0013,5.1e-05,0.0031,"smoking","F001"
"cg22814740",-0.0052,0.0013,5.1e-05,0.0031,"smoking","F001"
"cg01364172",-0.0041,0.001,5.1e-05,0.0031,"smoking","F001"
"cg14373018",0.0056,0.0014,5.1e-05,0.0031,"smoking","F001"
"cg16269431",0.0048,0.0012,5.1e-05,0.0031,"smoking","F001"
"cg15813090",-0.0064,0.0016,5.1e-05,0.0031,"smoking","F001"
"cg12738718",-0.0043,0.0011,5.1e-05,0.0031,"smoking","F001"
"cg07035320",0.0073,0.0018,5.1e-05,0.0031,"smoking","F001"
"cg23001918",-0.0052,0.0013,5.1e-05,0.0031,"smoking","F001"
"cg10186733",0.0045,0.0011,5.1e-05,0.0031,"smoking","F001"
"cg22712403",-0.0029,7e-04,5.1e-05,0.0031,"smoking","F001"
"cg14542334",0.0068,0.0017,5.1e-05,0.0031,"smoking","F001"
"cg10643489",-0.0095,0.0023,5.1e-05,0.0031,"smoking","F001"
"cg04384987",-0.0026,6e-04,5.1e-05,0.0031,"smoking","F001"
"cg16233311",-0.0042,0.001,5.1e-05,0.0031,"smoking","F001"
"cg02183676",0.0028,7e-04,5.2e-05,0.0031,"smoking","F001"
"cg01546857",0.0042,0.001,5.2e-05,0.0031,"smoking","F001"
"cg04404543",-0.0071,0.0018,5.2e-05,0.0031,"smoking","F001"
"cg02930200",0.0041,0.001,5.2e-05,0.0031,"smoking","F001"
"cg21333217",0.0076,0.0019,5.2e-05,0.0031,"smoking","F001"
"cg17949162",-0.0032,8e-04,5.2e-05,0.0031,"smoking","F001"
"cg24011500",0.0066,0.0016,5.2e-05,0.0031,"smoking","F001"
"cg05034124",-0.0035,9e-04,5.2e-05,0.0031,"smoking","F001"
"cg14839501",-0.0051,0.0012,5.2e-05,0.0031,"smoking","F001"
"cg06914048",0.0026,6e-04,5.2e-05,0.0031,"smoking","F001"
"cg21302563",0.0074,0.0018,5.2e-05,0.0031,"smoking","F001"
"cg09359106",0.0043,0.0011,5.2e-05,0.0032,"smoking","F001"
"cg20408276",0.0108,0.0027,5.2e-05,0.0032,"smoking","F001"
"cg04859826",-0.0056,0.0014,5.2e-05,0.0032,"smoking","F001"
"cg10325659",-0.0045,0.0011,5.2e-05,0.0032,"smoking","F001"
"cg15507334",0.0062,0.0015,5.2e-05,0.0032,"smoking","F001"
"cg04687551",0.003,8e-04,5.2e-05,0.0032,"smoking","F001"
"cg25894160",0.0068,0.0017,5.2e-05,0.0032,"smoking","F001"
"cg10835770",-0.0038,9e-04,5.2e-05,0.0032,"smoking","F001"
"cg03914735",0.0069,0.0017,5.2e-05,0.0032,"smoking","F001"
"cg11042320",-0.0049,0.0012,5.3e-05,0.0032,"smoking","F001"
"cg09387382",-0.0077,0.0019,5.3e-05,0.0032,"smoking","F001"
"cg02891728",0.0056,0.0014,5.3e-05,0.0032,"smoking","F001"
"cg02571874",0.0033,8e-04,5.3e-05,0.0032,"smoking","F001"
"cg12281620",-0.0029,7e-04,5.3e-05,0.0032,"smoking","F001"
"cg01023203",-0.003,7e-04,5.3e-05,0.0032,"smoking","F001"
"cg01784327",0.0035,9e-04,5.3e-05,0.0032,"smoking","F001"
"cg20294304",-0.0116,0.0029,5.3e-05,0.0032,"smoking","F001"
"cg05589489",-0.0094,0.0023,5.3e-05,0.0032,"smoking","F001"
"cg10894072",-0.0027,7e-04,5.3e-05,0.0032,"smoking","F001"
"cg10117719",-0.0037,9e-04,5.3e-05,0.0032,"smoking","F001"
"cg18923740",-0.0066,0.0016,5.3e-05,0.0032,"smoking","F001"
"cg09092525",0.0065,0.0016,5.3e-05,0.0032,"smoking","F001"
"cg10089865",-0.0039,0.001,5.3e-05,0.0032,"smoking","F001"
"cg00566899",-0.0032,8e-04,5.3e-05,0.0032,"smoking","F001"
"cg01396157",0.0051,0.0013,5.3e-05,0.0032,"smoking","F001"
"cg16039142",0.0038,9e-04,5.3e-05,0.0032,"smoking","F001"
"cg13895322",-0.0043,0.0011,5.3e-05,0.0032,"smoking","F001"
"cg05206276",-0.0044,0.0011,5.3e-05,0.0032,"smoking","F001"
"cg10257521",0.0025,6e-04,5.3e-05,0.0032,"smoking","F001"
"cg23367119",-0.004,0.001,5.3e-05,0.0032,"smoking","F001"
"cg08962798",-0.0043,0.0011,5.3e-05,0.0032,"smoking","F001"
"cg07007550",-0.0029,7e-04,5.3e-05,0.0032,"smoking","F001"
"cg23243617",-0.0029,7e-04,5.3e-05,0.0032,"smoking","F001"
"cg11660418",-0.0033,8e-04,5.3e-05,0.0032,"smoking","F001"
"cg00375250",0.0032,8e-04,5.3e-05,0.0032,"smoking","F001"
"cg00517855",-0.0067,0.0017,5.4e-05,0.0032,"smoking","F001"
"cg18441959",0.0067,0.0017,5.4e-05,0.0032,"smoking","F001"
"cg24906410",-0.0065,0.0016,5.4e-05,0.0032,"smoking","F001"
"cg22012981",-0.0043,0.0011,5.4e-05,0.0032,"smoking","F001"
"cg14479136",0.0032,8e-04,5.4e-05,0.0032,"smoking","F001"
"cg24358781",-0.0064,0.0016,5.4e-05,0.0032,"smoking","F001"
"cg22434594",0.0045,0.0011,5.4e-05,0.0032,"smoking","F001"
"cg05570654",0.0028,7e-04,5.4e-05,0.0032,"smoking","F001"
"cg20863321",-0.0041,0.001,5.4e-05,0.0032,"smoking","F001"
"cg00480331",0.0058,0.0014,5.4e-05,0.0032,"smoking","F001"
"cg26680760",0.004,0.001,5.4e-05,0.0032,"smoking","F001"
"cg06088032",-0.0022,5e-04,5.4e-05,0.0032,"smoking","F001"
"cg06846495",-0.0058,0.0014,5.4e-05,0.0033,"smoking","F001"
"cg24990317",0.0055,0.0014,5.4e-05,0.0033,"smoking","F001"
"cg26543539",-0.0061,0.0015,5.4e-05,0.0033,"smoking","F001"
"cg26211349",0.0074,0.0018,5.4e-05,0.0033,"smoking","F001"
"cg18593727",0.0021,5e-04,5.4e-05,0.0033,"smoking","F001"
"cg16361890",0.0032,8e-04,5.4e-05,0.0033,"smoking","F001"
"cg13605674",0.0035,9e-04,5.4e-05,0.0033,"smoking","F001"
"cg18437480",0.0028,7e-04,5.4e-05,0.0033,"smoking","F001"
"cg10312186",-0.0103,0.0026,5.4e-05,0.0033,"smoking","F001"
"cg01517033",-0.0027,7e-04,5.4e-05,0.0033,"smoking","F001"
"cg20242066",0.0096,0.0024,5.4e-05,0.0033,"smoking","F001"
"cg25687179",-0.0065,0.0016,5.4e-05,0.0033,"smoking","F001"
"cg12514933",0.0028,7e-04,5.4e-05,0.0033,"smoking","F001"
"cg23060465",0.0027,7e-04,5.4e-05,0.0033,"smoking","F001"
"cg26979537",-0.0024,6e-04,5.4e-05,0.0033,"smoking","F001"
"cg24702826",0.0052,0.0013,5.5e-05,0.0033,"smoking","F001"
"cg06128881",-0.005,0.0012,5.5e-05,0.0033,"smoking","F001"
"cg27442412",0.0021,5e-04,5.5e-05,0.0033,"smoking","F001"
"cg16061228",0.0028,7e-04,5.5e-05,0.0033,"smoking","F001"
"cg21123203",0.0038,9e-04,5.5e-05,0.0033,"smoking","F001"
"cg18773591",-0.0052,0.0013,5.5e-05,0.0033,"smoking","F001"
"cg13244241",-0.0018,4e-04,5.5e-05,0.0033,"smoking","F001"
"cg27418217",0.0033,8e-04,5.5e-05,0.0033,"smoking","F001"
"cg26942930",0.0022,5e-04,5.5e-05,0.0033,"smoking","F001"
"cg01030476",-0.0075,0.0019,5.5e-05,0.0033,"smoking","F001"
"cg06828143",0.0052,0.0013,5.5e-05,0.0033,"smoking","F001"
"cg21881184",0.0032,8e-04,5.5e-05,0.0033,"smoking","F001"
"cg03437540",0.0039,0.001,5.5e-05,0.0033,"smoking","F001"
"cg16330893",0.0046,0.0011,5.5e-05,0.0033,"smoking","F001"
"cg20288892",-0.0029,7e-04,5.5e-05,0.0033,"smoking","F001"
"cg22353329",0.0041,0.001,5.5e-05,0.0033,"smoking","F001"
"cg04064588",-0.0035,9e-04,5.5e-05,0.0033,"smoking","F001"
"cg02564061",0.0045,0.0011,5.5e-05,0.0033,"smoking","F001"
"cg17733447",-0.0072,0.0018,5.5e-05,0.0033,"smoking","F001"
"cg05205351",-0.0082,0.002,5.5e-05,0.0033,"smoking","F001"
"cg13986840",-0.0058,0.0014,5.5e-05,0.0033,"smoking","F001"
"cg18443253",0.0044,0.0011,5.5e-05,0.0033,"smoking","F001"
"cg11860203",0.0048,0.0012,5.5e-05,0.0033,"smoking","F001"
"cg18000306",-0.0061,0.0015,5.5e-05,0.0033,"smoking","F001"
"cg04873053",-0.0064,0.0016,5.5e-05,0.0033,"smoking","F001"
"cg05789714",0.0031,8e-04,5.5e-05,0.0033,"smoking","F001"
"cg27026202",-0.011,0.0027,5.6e-05,0.0033,"smoking","F001"
"cg05989054",0.0037,9e-04,5.6e-05,0.0033,"smoking","F001"
"cg02843201",0.0032,8e-04,5.6e-05,0.0033,"smoking","F001"
"cg15727507",0.0091,0.0023,5.6e-05,0.0033,"smoking","F001"
"cg11298343",-0.0053,0.0013,5.6e-05,0.0033,"smoking","F001"
"cg04625615",-0.0087,0.0022,5.6e-05,0.0033,"smoking","F001"
"cg25082487",0.0024,6e-04,5.6e-05,0.0033,"smoking","F001"
"cg05043716",-0.0024,6e-04,5.6e-05,0.0033,"smoking","F001"
"cg05168580",0.006,0.0015,5.6e-05,0.0033,"smoking","F001"
"cg09553840",0.0061,0.0015,5.6e-05,0.0033,"smoking","F001"
"cg02010963",-0.007,0.0017,5.6e-05,0.0033,"smoking","F001"
"cg26108329",0.0041,0.001,5.6e-05,0.0033,"smoking","F001"
"cg13711966",0.0076,0.0019,5.6e-05,0.0033,"smoking","F001"
"cg11435167",0.0022,5e-04,5.6e-05,0.0033,"smoking","F001"
"cg04731926",-0.0095,0.0023,5.6e-05,0.0033,"smoking","F001"
"cg27449489",0.0046,0.0011,5.6e-05,0.0033,"smoking","F001"
"cg07986199",-0.0087,0.0022,5.6e-05,0.0033,"smoking","F001"
"cg26904702",0.0044,0.0011,5.6e-05,0.0033,"smoking","F001"
"cg05506147",-0.0048,0.0012,5.6e-05,0.0033,"smoking","F001"
"cg12800105",-0.006,0.0015,5.6e-05,0.0033,"smoking","F001"
"cg13034825",9e-04,2e-04,5.6e-05,0.0033,"smoking","F001"
"cg23845310",0.0034,8e-04,5.6e-05,0.0033,"smoking","F001"
"cg26815396",-0.0056,0.0014,5.6e-05,0.0033,"smoking","F001"
"cg14733637",-0.0044,0.0011,5.6e-05,0.0033,"smoking","F001"
"cg05057720",0.0069,0.0017,5.6e-05,0.0033,"smoking","F001"
"cg25819602",0.0016,4e-04,5.6e-05,0.0033,"smoking","F001"
"cg27232360",0.0038,0.001,5.6e-05,0.0033,"smoking","F001"
"cg08301612",-0.0084,0.0021,5.6e-05,0.0033,"smoking","F001"
"cg18447299",0.0053,0.0013,5.6e-05,0.0034,"smoking","F001"
"cg00183186",0.0052,0.0013,5.6e-05,0.0034,"smoking","F001"
"cg22703659",-0.0016,4e-04,5.7e-05,0.0034,"smoking","F001"
"cg03180426",-0.0046,0.0012,5.7e-05,0.0034,"smoking","F001"
"cg21408581",-0.0047,0.0012,5.7e-05,0.0034,"smoking","F001"
"cg06000951",0.0038,9e-04,5.7e-05,0.0034,"smoking","F001"
"cg12600843",-0.0072,0.0018,5.7e-05,0.0034,"smoking","F001"
"cg23840027",0.0072,0.0018,5.7e-05,0.0034,"smoking","F001"
"cg21608192",-0.0014,4e-04,5.7e-05,0.0034,"smoking","F001"
"cg01555705",0.0051,0.0013,5.7e-05,0.0034,"smoking","F001"
"cg23689428",-0.0072,0.0018,5.7e-05,0.0034,"smoking","F001"
"cg23606718",0.0044,0.0011,5.7e-05,0.0034,"smoking","F001"
"cg05985317",-0.0084,0.0021,5.7e-05,0.0034,"smoking","F001"
"cg00929860",-0.0072,0.0018,5.7e-05,0.0034,"smoking","F001"
"cg04920385",-0.0041,0.001,5.7e-05,0.0034,"smoking","F001"
"cg20852250",0.0057,0.0014,5.7e-05,0.0034,"smoking","F001"
"cg26394916",-0.0035,9e-04,5.7e-05,0.0034,"smoking","F001"
"cg04678936",-0.0036,9e-04,5.7e-05,0.0034,"smoking","F001"
"cg23683674",0.0019,5e-04,5.7e-05,0.0034,"smoking","F001"
"cg25075684",0.004,0.001,5.7e-05,0.0034,"smoking","F001"
"cg25179853",-0.0065,0.0016,5.7e-05,0.0034,"smoking","F001"
"cg00718129",-0.0075,0.0019,5.7e-05,0.0034,"smoking","F001"
"cg09715059",-0.0068,0.0017,5.7e-05,0.0034,"smoking","F001"
"cg24170090",-0.0019,5e-04,5.7e-05,0.0034,"smoking","F001"
"cg00969087",-0.006,0.0015,5.7e-05,0.0034,"smoking","F001"
"cg17869315",-0.003,8e-04,5.8e-05,0.0034,"smoking","F001"
"cg07877900",0.0078,0.0019,5.8e-05,0.0034,"smoking","F001"
"cg02975505",-0.0027,7e-04,5.8e-05,0.0034,"smoking","F001"
"cg14288235",0.0021,5e-04,5.8e-05,0.0034,"smoking","F001"
"cg25963412",0.0046,0.0012,5.8e-05,0.0034,"smoking","F001"
"cg05572179",0.0021,5e-04,5.8e-05,0.0034,"smoking","F001"
"cg06195293",0.0055,0.0014,5.8e-05,0.0034,"smoking","F001"
"cg08505243",0.0069,0.0017,5.8e-05,0.0034,"smoking","F001"
"cg02832697",-0.0108,0.0027,5.8e-05,0.0034,"smoking","F001"
"cg14073922",0.0031,8e-04,5.8e-05,0.0034,"smoking","F001"
"cg13493071",-0.0035,9e-04,5.8e-05,0.0034,"smoking","F001"
"cg17581104",-0.0041,0.001,5.8e-05,0.0034,"smoking","F001"
"cg04433322",-0.006,0.0015,5.8e-05,0.0034,"smoking","F001"
"cg02749804",-0.0051,0.0013,5.8e-05,0.0034,"smoking","F001"
"cg08358188",-0.0027,7e-04,5.8e-05,0.0034,"smoking","F001"
"cg13636952",0.009,0.0022,5.8e-05,0.0034,"smoking","F001"
"cg00751072",0.0042,0.0011,5.8e-05,0.0034,"smoking","F001"
"cg09644153",0.0058,0.0014,5.8e-05,0.0034,"smoking","F001"
"cg18205770",-0.0048,0.0012,5.8e-05,0.0034,"smoking","F001"
"cg01865484",0.002,5e-04,5.8e-05,0.0034,"smoking","F001"
"cg22915582",-0.0016,4e-04,5.8e-05,0.0034,"smoking","F001"
"cg00286497",0.003,8e-04,5.8e-05,0.0034,"smoking","F001"
"cg03773862",-0.0062,0.0015,5.8e-05,0.0034,"smoking","F001"
"cg15465439",0.0066,0.0016,5.9e-05,0.0035,"smoking","F001"
"cg06586496",0.0019,5e-04,5.9e-05,0.0035,"smoking","F001"
"cg24972288",0.0012,3e-04,5.9e-05,0.0035,"smoking","F001"
"cg21182407",-0.0039,0.001,5.9e-05,0.0035,"smoking","F001"
"cg01928820",0.005,0.0013,5.9e-05,0.0035,"smoking","F001"
"cg26301908",-0.0019,5e-04,5.9e-05,0.0035,"smoking","F001"
"cg12907959",0.0016,4e-04,5.9e-05,0.0035,"smoking","F001"
"cg16871828",0.0032,8e-04,5.9e-05,0.0035,"smoking","F001"
"cg03844971",-0.0026,6e-04,5.9e-05,0.0035,"smoking","F001"
"cg13877801",0.0039,0.001,5.9e-05,0.0035,"smoking","F001"
"cg12422704",0.0033,8e-04,5.9e-05,0.0035,"smoking","F001"
"cg04628369",0.0053,0.0013,5.9e-05,0.0035,"smoking","F001"
"cg08375941",-0.0072,0.0018,5.9e-05,0.0035,"smoking","F001"
"cg24496475",0.0095,0.0024,5.9e-05,0.0035,"smoking","F001"
"cg17467525",-0.0072,0.0018,5.9e-05,0.0035,"smoking","F001"
"cg20244073",-0.009,0.0022,5.9e-05,0.0035,"smoking","F001"
"cg06707369",0.0032,8e-04,5.9e-05,0.0035,"smoking","F001"
"cg11202634",0.0046,0.0011,5.9e-05,0.0035,"smoking","F001"
"cg12407791",0.0068,0.0017,5.9e-05,0.0035,"smoking","F001"
"cg13935009",-0.0045,0.0011,5.9e-05,0.0035,"smoking","F001"
"cg12284098",0.0093,0.0023,5.9e-05,0.0035,"smoking","F001"
"cg09513380",0.0032,8e-04,6e-05,0.0035,"smoking","F001"
"cg11673244",-0.0057,0.0014,6e-05,0.0035,"smoking","F001"
"cg08094571",-0.0059,0.0015,6e-05,0.0035,"smoking","F001"
"cg27664496",0.0093,0.0023,6e-05,0.0035,"smoking","F001"
"cg00049323",-0.0077,0.0019,6e-05,0.0035,"smoking","F001"
"cg13577072",0.0027,7e-04,6e-05,0.0035,"smoking","F001"
"cg23617121",0.0042,0.001,6e-05,0.0035,"smoking","F001"
"cg14422366",-0.0039,0.001,6e-05,0.0035,"smoking","F001"
"cg14783891",0.0034,9e-04,6e-05,0.0035,"smoking","F001"
"cg08362785",0.0045,0.0011,6e-05,0.0035,"smoking","F001"
"cg03281572",-0.0059,0.0015,6e-05,0.0035,"smoking","F001"
"cg02623114",-0.004,0.001,6e-05,0.0035,"smoking","F001"
"cg26888012",-0.0046,0.0011,6e-05,0.0035,"smoking","F001"
"cg17611742",-0.0088,0.0022,6e-05,0.0035,"smoking","F001"
"cg13105904",-0.0115,0.0029,6e-05,0.0035,"smoking","F001"
"cg18972123",-0.0076,0.0019,6e-05,0.0035,"smoking","F001"
"cg10163955",-0.0177,0.0044,6e-05,0.0035,"smoking","F001"
"cg20981219",-0.0052,0.0013,6.1e-05,0.0036,"smoking","F001"
"cg14155397",-0.0056,0.0014,6.1e-05,0.0036,"smoking","F001"
"cg10161194",-0.0022,5e-04,6.1e-05,0.0036,"smoking","F001"
"cg16536016",0.0024,6e-04,6.1e-05,0.0036,"smoking","F001"
"cg12899248",-0.003,8e-04,6.1e-05,0.0036,"smoking","F001"
"cg10189607",0.0021,5e-04,6.1e-05,0.0036,"smoking","F001"
"cg12500731",0.0071,0.0018,6.1e-05,0.0036,"smoking","F001"
"cg18335607",0.0034,9e-04,6.1e-05,0.0036,"smoking","F001"
"cg13166098",-0.0032,8e-04,6.1e-05,0.0036,"smoking","F001"
"cg14255337",-0.005,0.0012,6.1e-05,0.0036,"smoking","F001"
"cg16095155",-0.0056,0.0014,6.1e-05,0.0036,"smoking","F001"
"cg00408678",-0.004,0.001,6.1e-05,0.0036,"smoking","F001"
"cg05084700",-0.0028,7e-04,6.1e-05,0.0036,"smoking","F001"
"cg25110782",-0.0033,8e-04,6.1e-05,0.0036,"smoking","F001"
"cg02447620",-0.0064,0.0016,6.1e-05,0.0036,"smoking","F001"
"cg01938023",0.0031,8e-04,6.1e-05,0.0036,"smoking","F001"
"cg26775087",0.0067,0.0017,6.1e-05,0.0036,"smoking","F001"
"cg02169286",0.0028,7e-04,6.1e-05,0.0036,"smoking","F001"
"cg00127150",-0.0053,0.0013,6.1e-05,0.0036,"smoking","F001"
"cg15701047",0.0025,6e-04,6.2e-05,0.0036,"smoking","F001"
"cg19279257",0.0044,0.0011,6.2e-05,0.0036,"smoking","F001"
"cg12417775",0.0059,0.0015,6.2e-05,0.0036,"smoking","F001"
"cg26816688",-0.0027,7e-04,6.2e-05,0.0036,"smoking","F001"
"cg20721121",-8e-04,2e-04,6.2e-05,0.0036,"smoking","F001"
"cg17113856",-0.007,0.0017,6.2e-05,0.0036,"smoking","F001"
"cg08857310",0.0017,4e-04,6.2e-05,0.0036,"smoking","F001"
"cg01904243",-0.0064,0.0016,6.2e-05,0.0036,"smoking","F001"
"cg11036041",-0.0132,0.0033,6.2e-05,0.0036,"smoking","F001"
"cg21511321",0.0039,0.001,6.2e-05,0.0036,"smoking","F001"
"cg02162897",0.0054,0.0014,6.2e-05,0.0036,"smoking","F001"
"cg14790107",-0.0045,0.0011,6.2e-05,0.0036,"smoking","F001"
"cg10121429",-0.0026,6e-04,6.2e-05,0.0036,"smoking","F001"
"cg21883293",0.0033,8e-04,6.2e-05,0.0036,"smoking","F001"
"cg12195135",-0.0032,8e-04,6.2e-05,0.0036,"smoking","F001"
"cg00476771",0.0052,0.0013,6.2e-05,0.0036,"smoking","F001"
"cg16948827",0.0018,4e-04,6.2e-05,0.0036,"smoking","F001"
"cg23686174",-0.0017,4e-04,6.2e-05,0.0036,"smoking","F001"
"cg01196858",-0.0057,0.0014,6.2e-05,0.0036,"smoking","F001"
"cg26883251",-0.0093,0.0023,6.2e-05,0.0036,"smoking","F001"
"cg26655340",0.0049,0.0012,6.2e-05,0.0036,"smoking","F001"
"cg05595692",0.0028,7e-04,6.2e-05,0.0036,"smoking","F001"
"cg05010058",-0.003,8e-04,6.2e-05,0.0036,"smoking","F001"
"cg00563926",0.0071,0.0018,6.2e-05,0.0036,"smoking","F001"
"cg17611674",-0.0038,9e-04,6.3e-05,0.0036,"smoking","F001"
"cg17599748",-0.0067,0.0017,6.3e-05,0.0036,"smoking","F001"
"cg17901382",0.0089,0.0022,6.3e-05,0.0036,"smoking","F001"
"cg20539752",0.0023,6e-04,6.3e-05,0.0036,"smoking","F001"
"cg04754652",0.0054,0.0013,6.3e-05,0.0036,"smoking","F001"
"cg14835443",0.0022,5e-04,6.3e-05,0.0036,"smoking","F001"
"cg01771019",-0.005,0.0013,6.3e-05,0.0036,"smoking","F001"
"cg18417061",-0.0029,7e-04,6.3e-05,0.0037,"smoking","F001"
"cg21685138",0.0022,6e-04,6.3e-05,0.0037,"smoking","F001"
"cg08147181",0.0031,8e-04,6.3e-05,0.0037,"smoking","F001"
"cg04677158",-0.0078,0.002,6.3e-05,0.0037,"smoking","F001"
"cg11789371",-0.003,7e-04,6.3e-05,0.0037,"smoking","F001"
"cg27060381",-0.0035,9e-04,6.3e-05,0.0037,"smoking","F001"
"cg03854595",-0.0028,7e-04,6.3e-05,0.0037,"smoking","F001"
"cg10646402",0.0029,7e-04,6.3e-05,0.0037,"smoking","F001"
"cg16582344",-9e-04,2e-04,6.3e-05,0.0037,"smoking","F001"
"cg14032371",-0.0021,5e-04,6.3e-05,0.0037,"smoking","F001"
"cg02922280",-0.0033,8e-04,6.3e-05,0.0037,"smoking","F001"
"cg13633262",-0.0045,0.0011,6.3e-05,0.0037,"smoking","F001"
"cg14538319",-0.0027,7e-04,6.4e-05,0.0037,"smoking","F001"
"cg12336290",0.0062,0.0016,6.4e-05,0.0037,"smoking","F001"
"cg07212818",-0.0074,0.0019,6.4e-05,0.0037,"smoking","F001"
"cg09787315",0.0029,7e-04,6.4e-05,0.0037,"smoking","F001"
"cg04788957",-0.0056,0.0014,6.4e-05,0.0037,"smoking","F001"
"cg02629761",-0.0025,6e-04,6.4e-05,0.0037,"smoking","F001"
"cg14141458",0.0047,0.0012,6.4e-05,0.0037,"smoking","F001"
"cg22700848",0.0045,0.0011,6.4e-05,0.0037,"smoking","F001"
"cg09162537",0.0079,0.002,6.4e-05,0.0037,"smoking","F001"
"cg00760562",-0.0054,0.0013,6.4e-05,0.0037,"smoking","F001"
"cg02175308",0.0068,0.0017,6.4e-05,0.0037,"smoking","F001"
"cg06696815",-0.0038,0.001,6.4e-05,0.0037,"smoking","F001"
"cg04234016",-0.0063,0.0016,6.5e-05,0.0037,"smoking","F001"
"cg04929932",-0.0094,0.0024,6.5e-05,0.0037,"smoking","F001"
"cg01782097",0.0037,9e-04,6.5e-05,0.0037,"smoking","F001"
"cg22845855",-0.0068,0.0017,6.5e-05,0.0037,"smoking","F001"
"cg14973995",-0.0044,0.0011,6.5e-05,0.0037,"smoking","F001"
"cg06394247",0.0036,9e-04,6.5e-05,0.0037,"smoking","F001"
"cg17779676",-0.0051,0.0013,6.5e-05,0.0037,"smoking","F001"
"cg11908057",-0.0086,0.0021,6.5e-05,0.0038,"smoking","F001"
"cg09697696",-0.0047,0.0012,6.5e-05,0.0038,"smoking","F001"
"cg06786600",0.0042,0.001,6.5e-05,0.0038,"smoking","F001"
"cg09682213",0.0032,8e-04,6.5e-05,0.0038,"smoking","F001"
"cg08262220",-0.0099,0.0025,6.5e-05,0.0038,"smoking","F001"
"cg05021842",-0.007,0.0018,6.5e-05,0.0038,"smoking","F001"
"cg19957803",-0.0027,7e-04,6.5e-05,0.0038,"smoking","F001"
"cg11690578",-0.0086,0.0022,6.5e-05,0.0038,"smoking","F001"
"cg19646112",0.0026,7e-04,6.5e-05,0.0038,"smoking","F001"
"cg10932907",-0.0042,0.001,6.5e-05,0.0038,"smoking","F001"
"cg22345692",0.0015,4e-04,6.5e-05,0.0038,"smoking","F001"
"cg00591868",-0.0054,0.0013,6.5e-05,0.0038,"smoking","F001"
"cg06279471",-0.0045,0.0011,6.5e-05,0.0038,"smoking","F001"
"cg08790319",-0.0051,0.0013,6.5e-05,0.0038,"smoking","F001"
"cg18433086",-0.0102,0.0025,6.5e-05,0.0038,"smoking","F001"
"cg25163651",0.0066,0.0017,6.5e-05,0.0038,"smoking","F001"
"cg26127778",0.009,0.0022,6.5e-05,0.0038,"smoking","F001"
"cg23319477",-0.0093,0.0023,6.5e-05,0.0038,"smoking","F001"
"cg24004665",-0.0047,0.0012,6.5e-05,0.0038,"smoking","F001"
"cg19951663",0.003,7e-04,6.6e-05,0.0038,"smoking","F001"
"cg02003183",0.0115,0.0029,6.6e-05,0.0038,"smoking","F001"
"cg01685893",0.0062,0.0016,6.6e-05,0.0038,"smoking","F001"
"cg14295924",-0.006,0.0015,6.6e-05,0.0038,"smoking","F001"
